ISBN,SUBJECT_ID,SUBJECT_TEXT
9788757454543,"Erhvervsret - selskaber, finan (Cand. soc. i jura)","Erhvervsret - selskaber, finan (Cand. soc. i jura)"
9788757455496,"Erhvervsret - selskaber, finan (Cand. soc. i jura)","Erhvervsret - selskaber, finan (Cand. soc. i jura)"
9788761933713,"Erhvervsret - selskaber, finan (Cand. soc. i jura)","Erhvervsret - selskaber, finan (Cand. soc. i jura)"
9788741254548,Juridisk Kommunikation i Teori og Praksis,Juridisk Kommunikation i Teori og Praksis
9788750062080,Juridisk Kommunikation i Teori og Praksis,Juridisk Kommunikation i Teori og Praksis
9788759315118,Juridisk Kommunikation i Teori og Praksis,Juridisk Kommunikation i Teori og Praksis
9788757454253,Ansættelsesret,Ansættelsesret
9788757450132,Ansættelsesret,Ansættelsesret
9788757456462,Ansættelsesret,Ansættelsesret
9788771731545,Ansættelsesret,Ansættelsesret
9788757454246,Arbejdsret (KA-valgfag),Arbejdsret (KA-valgfag)
9788757449990,Arbejdsret (KA-valgfag),Arbejdsret (KA-valgfag)
9788757456462,Arbejdsret (KA-valgfag),Arbejdsret (KA-valgfag)
9788761943507,Arbejdsret (KA-valgfag),Arbejdsret (KA-valgfag)
9788792678270,Arbejdsret (KA-valgfag),Arbejdsret (KA-valgfag)
9781848221871,Art Crime and the Law,Art Crime and the Law
9788757436099,Bank- og Finansret,Bank- og Finansret
9788757472004,Bevisret,Bevisret
9788741273099,Civilprocesret (obligatorisk 2017-studieordning),Civilprocesret (obligatorisk 2017-studieordning)
9788761942821,Civilprocesret (obligatorisk 2017-studieordning),Civilprocesret (obligatorisk 2017-studieordning)
9788771731156,Civilprocesret (obligatorisk 2017-studieordning),Civilprocesret (obligatorisk 2017-studieordning)
9788797473870,Civilprocesret (obligatorisk 2017-studieordning),Civilprocesret (obligatorisk 2017-studieordning)
9781138700215,Criminological Theory,Criminological Theory
9780415429115,Criminological Theory,Criminological Theory
9781138819009,Criminological Theory,Criminological Theory
9781446259160,Criminological Theory,Criminological Theory
9781526436726,Criminological Theory,Criminological Theory
9781544327891,Criminological Theory,Criminological Theory
9788757453669,Databeskyttelsesret,Databeskyttelsesret
9781847940933,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts
9788757431896,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts
