fetch_date,semester_id,semester_text,university_id,university_text,study_id,study_text,subject_id,subject_text,isbn
2024-04-29T16:57:18.896Z,10204,4. semester,6273789,CBS - Copenhagen Business School,154,HA Europæisk business,HA EB Internationalisering & kvalitativ metode,HA EB Internationalisering & kvalitativ metode,9788741263779
2024-04-29T16:57:18.896Z,10204,4. semester,6273789,CBS - Copenhagen Business School,154,HA Europæisk business,HA EB Marketing,HA EB Marketing,9781292248448
2024-04-29T16:57:18.896Z,10232,2. semester,6273789,CBS - Copenhagen Business School,183,HA Mak - Markeds- og Kulturanalyse,HA MAK Global Marketing Audit BMAKO2003U,HA MAK Global Marketing Audit BMAKO2003U,9781839611193
2024-04-29T16:57:18.896Z,10232,2. semester,6273789,CBS - Copenhagen Business School,183,HA Mak - Markeds- og Kulturanalyse,HA MAK Mikroøkonomi,HA MAK Mikroøkonomi,9781292446448
2024-04-29T16:57:18.896Z,10124,4. semester,6273789,CBS - Copenhagen Business School,183,HA Mak - Markeds- og Kulturanalyse,HA MAK Kultur og kommunikation i organisationer,HA MAK Kultur og kommunikation i organisationer,9781577666400
2024-04-29T16:57:18.896Z,10124,4. semester,6273789,CBS - Copenhagen Business School,183,HA Mak - Markeds- og Kulturanalyse,HA Mak Forbrugerindsigt i Praksis,HA Mak Forbrugerindsigt i Praksis,9780857027672
2024-04-29T16:57:18.896Z,10484,6. semester,6273789,CBS - Copenhagen Business School,183,HA Mak - Markeds- og Kulturanalyse,HA MAK Kommunikation af kompleks data og viden,HA MAK Kommunikation af kompleks data og viden,9780321934079
2024-04-29T16:57:18.896Z,10042,2. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Beslutning risiko & usikkerhed,HA PRO Beslutning risiko & usikkerhed,9780141033570
2024-04-29T16:57:18.896Z,10042,2. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Metode projektstyringsværktøjer,HA PRO Metode projektstyringsværktøjer,9788759341179
2024-04-29T16:57:18.896Z,10042,2. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Regnskab,HA PRO Regnskab,9781292439426
2024-04-29T16:57:18.896Z,10042,2. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Regnskab,HA PRO Regnskab,9788712070603
2024-04-29T16:57:18.896Z,10042,2. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Statistik,HA PRO Statistik,9781292444765
2024-04-29T16:57:18.896Z,10123,4. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Afsætningsøkonomi,HA PRO Afsætningsøkonomi,9781119392200
2024-04-29T16:57:18.896Z,10123,4. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Afsætningsøkonomi,HA PRO Afsætningsøkonomi,9788702317138
2024-04-29T16:57:18.896Z,10123,4. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Afsætningsøkonomi,HA PRO Afsætningsøkonomi,9788702384192
